Q29,Q29_TEXT,Q10,Q11,Q12,Q14,Q31,Q15,Q16,Q17,Q18,Q19,Q28,Q20,Q20_TEXT,Q21,Q22,Q22_TEXT
 , , , , , , , , , , , , , , , , , 
United States, ,44,Male,6,High school/GED,Yes,manager,Industrial Production Manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,58000,65,Caucasian, 
United States, ,36,Female,8,Masters or equivalent, ,Manager,General and operations manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,67000,40,Caucasian, 
United States, ,47,Female,4,Masters or equivalent,Yes,Continuing Lecturer,25-1121.00,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,34000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,39,Male,4,High school/GED,Yes,Storefront Mechanic,"47-2121.00	Glaziers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"36,000",45,African American, 
United States, ,32,Female,6,4-year degree,Yes,Office Assistant,43-9061.00,Full-time,Public (not-for-profit) sector,No,No,I'd rather not say, ,40,Asian, 
United States, ,27,Female,1,High school/GED,Yes,Health and fitness coach,Coaches and Scouts,Part-time,Private (for-profit) sector,Yes,No,American Dollar,35000,28,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Male,3,High school/GED,Yes,customer service,43-4051.0,Full-time,Private (for-profit) sector,Yes,No,American Dollar,36000,40,Caucasian, 
United States, ,32,Female,6,4-year degree,Yes,Director of Sales,11-2022.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"44,000",40,Caucasian, 
United States, ,32,Male,3,2-year degree,Yes,services,food manager,Part-time,Private (for-profit) sector,Yes,Yes,I'd rather not say, ,10,Native American, 
 , , , , , , , , , , , , , , , , , 
United States, ,52,Male,5,4-year degree,Yes,Team Lead,Team Assemblers   Bright Outlook Bright Outlook     Green Occupation Green,Full-time,Private (for-profit) sector,Yes,No,American Dollar,50000,40,Caucasian, 
United States, ,33,Male,5,High school/GED,Yes,Technical Support Analyst - Tier 2,Network and Computer Systems Administrators,Full-time,Private (for-profit) sector,Yes,No,American Dollar,45000,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,19,Male,0,High school/GED,Yes,M-Turk Employee,Student,Part-time,Private (for-profit) sector,No,No,American Dollar,$0 ,2-Jan,Hispanic, 
United States, ,27,Male,2,2-year degree,Yes,Sales,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,35,Asian, 
United States, ,42,Male,2,Masters or equivalent,Yes,Production engineer Lead,Petroleum Engineer,Part-time,Private (for-profit) sector,Yes,No,American Dollar,120000,44,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,37,Female,1,High school/GED,Yes,bookkeeper,"43-3031.00	Bookkeeping, Accounting, and Auditing Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"40,000",35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,24,Female,0,High school/GED,No,unemployed,"Eligibility Interviewers, Government Programs",Full-time,Public (not-for-profit) sector,No,Yes,American Dollar,0,0,Caucasian, 
United States, ,34,Female,4,Ph.D. or equivalent,Yes,law clerk,23-1012.00 - Judicial Law Clerks,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,58000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,37,Male,12,Masters or equivalent,Yes,supply technician,Supply Chain Manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,45000,40,African American, 
United States, ,35,Female,5,4-year degree,Yes,Admin Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Full-time,Private (for-profit) sector,Yes,No,American Dollar,I'd rather not say,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,63,Female,2,2-year degree,Yes,LPN charge nurse,29-2061.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"60,000",70,Caucasian, 
United States, ,25,Female,1.5,4-year degree,Yes,assistant to psychiatrist,Medical Secretary,Part-time,Private (for-profit) sector,Yes,No,American Dollar,20000,20,Caucasian, 
United States, ,21,Female,2,High school/GED,Yes,Front Desk Representative,"Hotel, Motel, and Resort Desk Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"16,500",32,Caucasian, 
United States, ,25,Female,4,High school/GED,Yes,telephone  service  representative,customer  service  representative,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,28000,40,Hispanic, 
United States, ,39,Female,1,2-year degree,Yes,school bus driver,school bus driver,Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,29,Female,5.5,4-year degree,Yes,administrative assistant,executive secretaries and executive administrative assistants,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,22000,40,Caucasian, 
United States, ,37,Female,4,High school/GED,Yes,Data Entry Specialist,Database Administrator,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$40,000 ",40,Caucasian, 
United States, ,38,Female,2,4-year degree,No,Special Education Instructional Aide,"25-9041.00	Teacher Assistants",Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,16,Caucasian, 
United States, ,48,Male,9,4-year degree,Yes,CFO,Chief Executives,Full-time,Private (for-profit) sector,Yes,No,American Dollar,200000,50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,21,Male,2,High school/GED,Yes,contractor,insurance agent,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,1200,40,Caucasian, 
United States, ,59,Female,9,2-year degree,Yes,Medical Records Technician,Medical Records and Health Information Technicians,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,62,Female,3,High school/GED,Yes,Office Assistant,43-9061.00,Part-time,Private (for-profit) sector,Yes, ,American Dollar,"10,000",35,Caucasian, 
United States, ,21,Female,2,2-year degree,Yes,Costumer Service Rep,Customer Service Representative,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"$12,000 ",25,Caucasian, 
United States, ,57,Female,1,4-year degree,Yes,Personal Assistant to Disabled Consumer,Personal Care Aide,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,48000,25,Caucasian, 
United States, ,18,Male,2,High school/GED,Yes,Food Preparer,Food Preparation worker,Part-time,Private (for-profit) sector,Yes,No,American Dollar,9000,20,Caucasian, 
United States, ,24,Male,2,4-year degree,Yes,Graduate Teaching Assistant,Graduate Teaching Assistants,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,6,Caucasian, 
United States, ,26,Male,3,Masters or equivalent,Yes,Assistant Director of Marketing and Communications,Marketing Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,56000,50,Asian, 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Female,2,4-year degree,Yes,Cardiovascular Ultrasound Technologist,Diagnostic Medical Sonographer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,75000,40,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,44,Male,19,4-year degree,Yes,Work director,First-Line Supervisors of Office and Administrative Support Workers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"40,000",40,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,44,Female,2,High school/GED,Yes,general clerical clerk,43-9061.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,13000,40,Caucasian, 
United States, ,26,Male,7,2-year degree,Yes,Sound Engineering,27-4014.00 - Sound Engineering Technicians,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,50,Male,6,4-year degree,Yes,Quality Systems Manager,11-3051.01,Full-time,Private (for-profit) sector,Yes,No,American Dollar,72500,50,Hispanic, 
United States, ,38,Female,5,4-year degree,Yes,"owner, book keeper, everything else","43-3031.00	Bookkeeping, Accounting, and Auditing Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,30,Caucasian, 
United States, ,28,Female,5,Masters or equivalent,Yes,teacher,"English Language and Literature Teachers, Postsecondary",Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,20000,20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,33,Female,0.6,4-year degree,No,online sales Associate,Online merchants,Part-time,Private (for-profit) sector,Yes,Yes,American Dollar,4000,20,African American, 
United States, ,27,Female,9,2-year degree,Yes,lab technician,Forensic Science Technicians,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,44,Caucasian, 
United States, ,46,Female,4,4-year degree,Yes,Manager,General and Operations Manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,80000,40,Caucasian, 
United States, ,31,Male,5,Masters or equivalent,Yes,UNIX Systems Administrator,Network and Computer Systems Administrators,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,60000,40,Caucasian, 
United States, ,58,Female,38,Masters or equivalent,Yes,Customer Service Rep,Order Clerks,Full-time,Private (for-profit) sector,Yes,No,American Dollar,85000,40,Caucasian, 
United States, ,23,Female,1,4-year degree,Yes,Financial Analyst,Financial Analyst,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,42,Caucasian, 
United States, ,33,Female,0,High school/GED,Yes,Currently not working due to seasonal nature of employment.,"45-2092.02 	Farmworkers and Laborers, Crop Bright Outlook",Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,25,Caucasian, 
United States, ,23,Male,1,2-year degree,Yes,waiter,waiter,Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,32,Hispanic, 
United States, ,21,Male,3,High school/GED,Yes,programmer,computer programmer,Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,30,Asian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Male,1,4-year degree,Yes,Research Associate,Social Science Research Assistants,Full-time,Private (for-profit) sector,Yes,No,American Dollar,40000,40,Caucasian, 
United States, ,26,Female,2,4-year degree,Yes,Clerk,Court Clerks,Part-time,Private (for-profit) sector,Yes,No,American Dollar,20000,20,Asian, 
United States, ,39,Female,4,4-year degree,Yes,Office Manager,11-3011.00 - Administrative Services Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,42,Caucasian, 
United States, ,27,Female,4,2-year degree,Yes,Meals on Wheels Manager,Personal Care Aides,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,17000,32.5,Caucasian, 
 , ,21,Male,3,2-year degree, ,RETAIL,13-1022,Part-time,Public (not-for-profit) sector,Yes, , , ,35,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,21,Female,3,High school/GED, ,Cashier,41-2011.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,7.75,38,Hispanic, 
United States, ,35,Female,9,Masters or equivalent,Yes,teacher,"Special Education Teachers, Kindergarten and Elementary School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,49000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,28,Female,8 years,2-year degree,Yes,Nurse's aide,Nursing Assistant,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"25,000",25,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,40, ,0,2-year degree,Yes,quality assurance editor,27-3042.00,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,16,Caucasian, 
 , ,22,Male,4,High school/GED, ,NOYFB,First-Line Supervisors of Non-Retail Sales Workers,Full-time,Private (for-profit) sector,Yes, , , ,40,Caucasian, 
United States, ,54,Female,15,2-year degree,Yes,caregiver,31-1011.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar, ,40,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,46,Female,1,4-year degree,Yes,customer service rep,Customer Service Representatives,Full-time,Private (for-profit) sector,Yes,No,American Dollar,24000,40,Caucasian, 
United States, ,26,Male,1,4-year degree,Yes,Mechanical Engineer, 17-2141.00 - Mechanical Engineers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,65000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , ,32,Female,1,Masters or equivalent, ,Technical Sales Manager,Sales Engineers,Full-time,Private (for-profit) sector,Yes, , , ,40,Caucasian, 
United States, ,31,Female,3,High school/GED,Yes,Review Writer,"27-3043.05 - Poets, Lyricists and Creative Writers",Full-time,Private (for-profit) sector,No,No,American Dollar,"40,000",50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Male,3,Masters or equivalent,Yes,Social worker,21-1011.00 Substance Abuse and Behavioral Disorder Counselors,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,33000,40,Caucasian, 
United States, ,34,Female,2,2-year degree,Yes,driver,Taxi Drivers and Chauffeurs,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,40,Caucasian, 
United States, ,36,Female,8,Masters or equivalent,Yes,Manager,General and operations manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,67000,40,Caucasian, 
United States, ,58,Female,2,High school/GED,Yes,Customer Service Rep,Customer service rep,Part-time,Private (for-profit) sector,Yes,No,American Dollar,12000,26,Caucasian, 
United States, ,27,Male,2,2-year degree,Yes,Custodian,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Part-time,Public (not-for-profit) sector,No,No,American Dollar,10000,20,Other:, 
 , , , , , , , , , , , , , , , , , 
United States, ,36,Female,8,Masters or equivalent,Yes,Director of Program Operations,Program Directors,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$65,000 ",40,Asian, 
United States, ,24,Female,2,4-year degree,Yes,research chemist,Chemist,Full-time,Private (for-profit) sector,Yes,No,American Dollar,94000,40,Caucasian, 
United States, ,18,Male,2,High school/GED,Yes,Student,N/A,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$4,500 ",15,Hispanic, 
United States, ,39,Male,7,4-year degree,Yes,sales director,"Sales Agents, Securities and Commodities",Full-time,Private (for-profit) sector,Yes,No,American Dollar,150000,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,49,Male,20,High school/GED,Yes,Longshoreman," Laborers and Freight, Stock, and Material Movers, Hand",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"125,000",80,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,34,Male,3,4-year degree,Yes,HR Specialist,Human Resources Specialists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,72000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,34,Male,8,Masters or equivalent,Yes,Certified Public Accountant - Audit Manager,Auditor,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"$120,000 ",50,Caucasian, 
United States, ,26,Male,4,4-year degree,Yes,Assistant Scientist,Biological Technicians,Full-time,Private (for-profit) sector,Yes,No,American Dollar,29500,41,Caucasian, 
 , ,59,Male,4,High school/GED, ,Plumber,This violates the rules of an Mturk worker. We are not allowed to go to web sites and publish personal information.,Part-time,Private (for-profit) sector,Yes, , , ,20,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,47,Female,14,2-year degree,Yes,business owner sole proprietor,"49-3052.00 	Motorcycle Mechanics",Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,30,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,40,Female,3,4-year degree,Yes,Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"39,000",40,Hispanic, 
United States, ,41,Female,12,High school/GED,Yes,VP Operations,Chief Executives,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"100,000",60,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,20,Female,1,High school/GED,Yes,assembly worker college student,team assemblers,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,28,Male,4,4-year degree,Yes,Engineer,17-2051.00 - Civil Engineers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,81000,40,Caucasian, 
United States, ,28,Female,2.5,4-year degree,No,office manager,"Office Clerks, General",Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,40,Caucasian, 
United States, ,23,Female,<1,4-year degree,Yes,Systems Engineer I,Aerospace Engineers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"66,000",40,Caucasian, 
United States, ,21,Male,0,High school/GED,Yes,Unemployed,"Eligibility Interviewers, Government Programs",Part-time,Private (for-profit) sector,No,Yes,American Dollar,700,35,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,20,Male,2,4-year degree,Yes,IT Heldpesk Specialist,Computer User Support Specialists,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,20,Caucasian, 
United States, ,65,Female,0,2-year degree,Yes,self employed,Nannies,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"30,000",20,Caucasian, 
United States, ,26,Female,1,4-year degree,Yes,Teacher,"Secondary School Teachers, Except Special and Career/Technical Education",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"32,500",45,Caucasian, 
United States, ,29,Female,9,High school/GED,Yes,Clerk,Office Clerk,Full-time,Private (for-profit) sector,Yes,No,American Dollar,33000,45,African American, 
United States, ,38,Male,2,High school/GED,Yes,cook,"Cooks, Restaurant",Part-time,Private (for-profit) sector,Yes,No,American Dollar,20000,29,Caucasian, 
United States, ,33,Female,9,4-year degree,Yes,Administrative Support Supervisor,Administrative Services Managers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"60,000",45,Caucasian, 
United States, ,19,Female,1.5,High school/GED,No,Nutrition Representative,21-1094.00,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$15,000.00 ",25,Asian, 
United States, ,24,Female,1,4-year degree,Yes,graduate teaching assistant,Graduate Teaching Assistants,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,"$12,000 ",20,Caucasian, 
United States, ,30,Female,3,4-year degree,Yes,Estimator,Cost Estimator,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"65,000",40,Caucasian, 
United States, ,50,Female,27,4-year degree,Yes,Teacher,"25-2052.00	Special Education Teachers, Kindergarten and Elementary School",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"51,000",50,Caucasian, 
United States, ,37,Female,11,Masters or equivalent,Yes,Instructional Coach,Instructional coordinators,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"75,000",35,Hispanic, 
United States, ,62,Male,6,4-year degree,Yes,PT Retail Clerk Healthcare,"43-5081.01 - Stock Clerks, Sales Floor",Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,24.5,Caucasian, 
United States, ,42,Male,4,4-year degree,Yes,Sr. Manager Finance,Compliance Manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,145000,50,Caucasian, 
United States, ,22,Male,2,2-year degree,Yes,Pharmacy Technician,Pharmacy Technicians,Part-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,16,Caucasian, 
United States, ,40,Male,18,High school/GED,Yes,Crew Leader,"First-Line Supervisors of Mechanics, Installers, and Repairers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,38000,40,Caucasian, 
United States, ,26,Female,3,High school/GED,Yes,Personal Assistant,Home Health Aides,Part-time,Private (for-profit) sector,Yes,No,American Dollar,5000,10,Other:,Mixed
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,52,Female,3,High school/GED,Yes,Clothing Department Manager/Keyholder,First-Line Supervisors of Retail Sales Workers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,20000,43,Caucasian, 
United States, ,30,Male,5,2-year degree,Yes,Computer Network Support,Computer Network Support Specialist,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,40,Male,9,4-year degree,Yes,computer analyst,15-1121.00,Full-time,Private (for-profit) sector,Yes,No,American Dollar,53000,38,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Female,1,High school/GED,Yes,cna,31-1014.00 - Nursing Assistants,Full-time,Private (for-profit) sector,Yes,No,American Dollar,23000,44,Caucasian, 
United States, ,32,Male,5,2-year degree,Yes,csr,"43-4051.00	Customer Service Representatives",Full-time,Private (for-profit) sector,Yes,No,American Dollar,25000,40,Caucasian, 
United States, ,44,Female,10,4-year degree,Yes,Technical Support Manager,Computer User Support Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"90,000",40,Caucasian, 
United States, ,31,Male,2,4-year degree,Yes,Software Development Manager,"Software Developers, Systems Software",Full-time,Private (for-profit) sector,Yes,No,American Dollar,100500,45,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,26,Female,2.5,4-year degree,Yes,Laboratory Technician III,Photonics Technicians,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"35,000",40,Caucasian, 
United States, ,29,Male,1,4-year degree,Yes,Membership Coordinator and Executive Assistant,Marketing Manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,52000,50,Caucasian, 
United States, ,34,Female,5,2-year degree,Yes,office manager,office manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,50000,40,Caucasian, 
United States, ,27,Female,1,4-year degree,Yes,Logistics Coordinator,Logistician,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,53000,45,Caucasian, 
United States, ,35,Female,5,High school/GED,Yes,office,food service,Part-time,Private (for-profit) sector,Yes,Yes,I'd rather not say, ,40,African American, 
United States, ,39,Female,19,4-year degree,Yes,Detective,33-3021.01 - Police Detectives,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"82,250",50,Caucasian, 
United States, ,36,Female,1,Masters or equivalent,Yes,Volunteer & Outreach Coordinator,Public Relations Specialists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,35000,44,Caucasian, 
United States, ,26,Female,2,High school/GED,Yes,Technical Support Representative,Computer User Support Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"30,000",40,Caucasian, 
United States, ,45,Male,7,4-year degree,Yes,Systems Analyst,Computer Systems Analysts,Full-time,Private (for-profit) sector,Yes,No,American Dollar,105000,40,Caucasian, 
United States, ,35,Male,4,High school/GED,Yes,IT Consultant,"Software Developers, Systems Software",Full-time,Private (for-profit) sector,Yes,No,American Dollar,40000,35,Caucasian, 
United States, ,60,Male,25,2-year degree,Yes,Nurse,29-1141.00 - Registered Nurses,Full-time,Private (for-profit) sector,Yes,No,American Dollar,"39,000.00",36,Caucasian, 
United States, ,30,Male,1,High school/GED,Yes,Meat Clerk,Butchers and Meat Cutters,Part-time,Private (for-profit) sector,Yes,No,American Dollar,10000,20,Caucasian, 
United States, ,30,Male,4,4-year degree,Yes,First Officer,"Airline Pilots, Copilots, and Flight Engineers",Full-time,Private (for-profit) sector,Yes,No,American Dollar,61000,20,Caucasian, 
United States, ,26,Female,3,4-year degree,Yes,Administrative Assistant,43-6014.00,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,28000,40,Caucasian, 
United States, ,45,Female,0,High school/GED,Yes,worker,data entry,Part-time,Private (for-profit) sector,No,Yes,Canadian Dollar, ,5,African American, 
United States, ,21,Female,3,2-year degree,Yes,Accounts Receivable Coordinator,Bill and Accounts Collector,Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,45,Hispanic, 
United States, ,36,Male,7,Masters or equivalent,Yes,IT Specialist,Computer and information systems manager,Full-time,Private (for-profit) sector,Yes,No,American Dollar,89100,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,19,Female,1,2-year degree,Yes,Animal Keeper,Nonfarm Animal Caretakers,Part-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,6,Caucasian, 
 , , , , , , , , , , , , , , , , , 
Canada, ,25,Male,0,Middle school,Yes, , , , ,No,Yes,I'd rather not say, ,0,Indian, 
 , , , , , , , , , , , , , , , , , 
United States, ,27,Male,7,2-year degree,Yes,teacher,Teacher Assistants,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"20,000",40,African American, 
United States, ,31,Male,2,2-year degree,Yes,Application Support Engineer,"15-1151.00	Computer User Support Specialists",Full-time,Private (for-profit) sector,Yes,No,American Dollar,"52,000",50,Caucasian, 
United States, ,25,Female,1,Masters or equivalent,Yes,Credit Risk Analyst,Credit Analysts,Full-time,Private (for-profit) sector,Yes,No,American Dollar,47000,40,African American, 
United States, ,36,Female,2,High school/GED,Yes,Waitress/Assistant Manager,Waiters and Waitresses,Part-time,Private (for-profit) sector,Yes,No,American Dollar,30000,25,Caucasian, 
United States, ,22,Female,4,High school/GED,Yes,Student,N/A,Full-time,Public (not-for-profit) sector,No,No,I'd rather not say, ,0,African American, 
 , , , , , , , , , , , , , , , , , 
United States, ,30,Male,3,4-year degree,Yes,Educator,Dental Assistant,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,30000,45,Caucasian, 
United States, ,39,Female,5,High school/GED,Yes,Project Specialist,information technology project manager,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"42,000",40,Caucasian, 
United States, ,27,Female,3,High school/GED,Yes,accounts payable,"bookkeeping, accounting, and auditing clerks",Part-time,Public (not-for-profit) sector,No,Yes,American Dollar,"20,000",45,Caucasian, 
United States, ,32,Female,9,2-year degree,Yes,bookkeeper,"Bookkeeping, Accounting, and Auditing Clerks",Full-time,Private (for-profit) sector,Yes,No,American Dollar,17500,40,Caucasian, 
United States, ,29,Male,11,Ph.D. or equivalent,Yes,Tech,Information Security Analysts,Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,60,Hispanic, 
 , , , , , , , , , , , , , , , , , 
United States, ,43,Female,10,4-year degree,Yes,Physical therapist, ,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,60000,37,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Female,1.5,4-year degree,Yes,Cashier,Cashiers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"9,000",21,Caucasian, 
United States, ,30,Male,7,2-year degree,Yes,E-Learning Developer,Training and Development Specialists,Full-time,Private (for-profit) sector,Yes,No,American Dollar,62000,40,Caucasian, 
United States, ,26,Female,3,4-year degree,Yes,administrative associate,"Education Administrators, Postsecondary",Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Hispanic, 
United States, ,35,Female,8,2-year degree,Yes,bookkeeper,bookkeeper,Part-time,Private (for-profit) sector,Yes,No,American Dollar,37100,38,Caucasian, 
United States, ,45,Male,5,4-year degree,Yes,FIRST AMEARICAN,FIRST AMEARICAN,Full-time,Private (for-profit) sector,Yes, ,I'd rather not say, ,45,Other:,WHITE
United States, ,25,Male,3,4-year degree,Yes,Head counselor for middle school after school,Child care worker,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,"12,000",25,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Male,2,High school/GED,Yes,Rig hand,"Service Unit Operators, Oil, Gas, and Mining",Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Female,0.5,High school/GED,Yes,ESL Tutor,Tutors,Part-time,Public (not-for-profit) sector,Yes,No,American Dollar,2000,8,Caucasian, 
United States, ,44,Female,2.5,2-year degree,Yes,cashier,cashiers,Part-time,Private (for-profit) sector,Yes,No,American Dollar,3500,20,Caucasian, 
United States, ,35,Male,4,High school/GED,Yes,salesman,Retail Salespersons,Full-time,Private (for-profit) sector,Yes,No,American Dollar,28000,40,Caucasian, 
United States, ,38,Female,15,2-year degree,Yes,Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Full-time,Private (for-profit) sector,Yes,No,American Dollar,35000,37,Caucasian, 
