Self-Reported Job Title,O*NET Occupation Title,O*NET Job Code,O*NET Job Complexity (5-point scale),Impact of Decisions,Consequences of Error,Responsibility for Others,Unstructured (vs. Structured) Work,Freedom to Make Decisions,Independence in Completing Work,Attention to Detail,Social Skills,Level of Competition,Innovation,Dealing With Unpleasant or Angry People 
Sales Associate,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
Presentation Team member,Retail Salespersons,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
sales associate,Retail Salespersons ,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
Owner/CEO,Retail Salespersons  ,41-2031.00,2,70,28,34,75,78,74,83,39,65,67,64
Advertising Account Executive,Advertising Sales Agents,41-3011.00,,88,59,27,83,73,83,81,22,77,75,55
contractor,Insurance Sales Agent,41-3021.00,,82,32,32,87,92,73,88,45,64,64,52
Sales Director,"Sales Agents, Securities and Commodities",41-3031.01,4,83,59,15,84,84,75,78,73,39,59,39
Travel Consultant,Travel Agents,41-3041.00,3,70,61,35,70,74,73,85,45,72,49,51
Sale Representative,"Sales Representatives, Services, All Other",41-3099.00,4,,,,,,,,,,,
sales associate,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,4,76,38,42,93,82,75,74,28,69,70,63
sales associate,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products ",41-4011.00,4,76,38,42,93,82,75,74,28,69,70,63
Sales Analyst,Sales Representative,41-4011.00,4,76,38,42,93,82,75,74,28,69,70,63
Sales Associate,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00 ,4,76,38,42,93,82,75,74,28,69,70,63
Inside Sales Account Manager,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00 ,4,76,38,42,93,82,75,74,28,69,70,63
Admin/Sales,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,4,73,30,26,86,77,80,81,33,79,61,62
Inside Sales,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,4,73,30,26,86,77,80,81,33,79,61,61
sales rep,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products  ",41-4012.00,4,73,30,26,86,77,80,81,33,79,61,62
sales,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products  ",41-4012.00,4,73,30,26,86,77,80,81,33,79,61,62
REALTOR,Real Estate Sales Agents,41-9022.00,,82,39,26,99,96,89,86,45,88,67,46
Technical Sales Manager,Sales Engineers,41-9031.00,4,79,29,28,76,71,68,81,22,56,68,41
Systems Engineer ,Sales Engineers,41-9031.00,4,79,29,28,76,71,68,81,22,56,68,54
Client Engagement Manager,Sales Engineers,41-9031.00,4,79,29,28,76,71,68,81,22,56,68,54
CSR,Telemarketers,41-9041.00,2,57,46,34,61,61,66,79,22,67,42,95
Newspaper Carrier Independent Contractor,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,2,46,14,6,96,96,90,56,33,63,53,36
Sales Associate," Sales and Related Workers, All Other",41-9099.00,,,,,,,,,,,,
Sales Administration,"Sales and Related Workers, All Other",41-9099.00,,,,,,,,,,,,
Customer Service Manager,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,3,74,48,40,85,76,76,83,56,66,66,54
Work Director,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,3,74,48,40,85,76,76,83,56,49,66,54
Customer Service Supervisor,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,3,74,48,40,85,76,76,83,56,49,66,54
Supervisor,First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,3,74,48,40,85,76,76,83,56,49,66,54
Call Center Worker,"Switchboard Operators, Including Answering Service",43-2011.00,2,85,42,36,74,73,71,81,45,37,47,74
medical biller,"Billing, cost and rate clerks",43-3021.02,2,68,30,25,70,59,77,87,22,37,55,63
Billing Clerk,"Billing, Cost, and Rate Clerks",43-3021.02,2,68,30,25,70,59,77,87,22,37,55,63
Billing Coordinator,"Billing, Cost, and Rate Clerks",43-3021.02,2,68,30,25,70,59,77,87,22,37,55,63
Accounts Payable Clerk,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,3,69,28,25,83,78,78,88,11,28,54,46
bookkeeper,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,3,69,28,25,83,78,78,88,11,28,54,46
Accounts Payable clerk,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,3,69,28,25,83,78,78,88,11,28,54,46
tax preparer,Tax Preparers,43-3031.00,3,69,28,25,83,78,78,88,11,28,54,46
bookkeeper,"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,3,69,28,25,83,78,78,88,11,28,54,46
Head  Teller,Tellers,43-3071.00,2,76,66,43,70,68,67,89,17,49,56,72
Bank Teller,Tellers,43-3071.00,2,76,66,43,70,68,67,89,17,49,56,72
Clerk,Court Clerks,43-4031.01,2,71,48,19,65,49,64,93,39,26,38,72
Clerk,Court Clerks,43-4031.01,2,71,48,19,65,49,64,93,39,26,38,72
Customer Service Representative,Customer Service,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Coordinator,Customer Service Coordinator,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Rep,Customer service rep,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Costumer Service Rep,Customer Service Representative,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Cashier,Customer service representative,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Member Service Rep,Customer Service Representative,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
self employed,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
customer service rep,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
customer service,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
customer service manager,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
customer service,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Consulatant,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
SERVICE DESK ASSOCIATE,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Insurance Account Manager,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Staff,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer service representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representative,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Work from Home Odd Jobs,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Rep,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Service Representatives,Customer Service Representatives,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
csr,Customer Service Representatives ,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Customer Support,Customer Service Representatives ,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
VTC Service Agent II,Customer Service Representitive,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Client Services Coordinator,customer services representative,43-4051.00,2,61,32,20,77,60,75,88,56,47,51,58
Patient Registration,Patient Representatives,43-4051.03,4,72,37,39,86,80,94,94,95,46,80,76
Unemployed. Used to be software engineer.,"Eligibility Interviewers, Government Programs",43-4061.00,,92,35,45,78,77,86,87,83,42,60,71
night auditor,"Hotel, Motel, and Resort Desk Clerks",43-4081.00,2,70,33,49,64,80,74,80,50,46,58,79
Front Desk Associate,"Hotel, Motel, and Resort Desk Clerks",43-4081.00,2,70,33,49,64,80,74,80,50,46,58,79
Front Desk Representative,"Hotel, Motel, and Resort Desk Clerks",43-4081.00,2,70,33,49,64,80,74,80,50,46,58,79
"front desk attendant, relief night manager","Hotel, Motel, and Resort Desk Clerks ",43-4081.00,2,70,33,49,64,80,74,80,50,46,58,79
Night Audit,"Hotel, Motel, and Resort Desk Clerks  Bright Outlook",43-4081.00,2,70,33,49,64,80,74,80,50,46,58,79
Telephone Survey Representative,"Interviewers, Except Eligibility and Loan",43-4111.00,,53,26,34,58,55,60,84,61,41,41,80
library supervisor,"Library Assistants, Clerical",43-4121.00,,59,8,38,82,73,77,86,50,21,53,53
order entry,Order Clerks,43-4151.00,2,48,45,49,72,75,73,83,50,47,47,82
Customer Service Rep,Order Clerks,43-4151.00,2,48,45,49,72,75,73,83,50,47,47,82
Aftermarket Specialist II,Order Clerks,43-4151.00,2,48,45,49,72,75,73,83,50,47,47,82
HR Assistant,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00,,56,41,36,80,67,75,87,39,35,61,57
Receptionist,Receptionists and Information Clerks,43-4171.00,2,74,28,44,74,72,74,87,39,56,61,68
Administrative Assistant,Receptionists and Information Clerks,43-4171.00,2,74,28,44,74,72,74,87,39,56,61,68
Patient Registrar,Receptionists and Information Clerks,43-4171.00,2,74,28,44,74,72,74,87,39,56,61,68
Information Specialist I,Receptionists and Information Clerks,43-4171.00,2,74,28,44,74,72,74,87,39,56,61,68
PSD,"Police, Fire, and Ambulance Dispatchers",43-5031.00,,95,86,80,77,79,70,91,39,31,50,94
Dispatcher,"Dispatchers, Except Police, Fire, and Ambulance ",43-5032.00,,74,35,72,84,82,78,87,33,42,56,58
postal window clerk,postal services clerk,43-5051.00,,66,28,38,58,57,70,79,33,40,50,71
Supply Product Coordinator,"Production, Planning, and Expediting Clerks",43-5061.00,,69,41,54,80,80,77,88,11,52,59,53
Shipping manager,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
forklift driver,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
Shipping Team Lead,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
receiver,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
manager of shipping/receiving,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
shipping supervisor,"Shipping, Receiving, and Traffic Clerks",43-5071.00,2,68,48,65,68,72,75,82,0,41,55,48
Retail Store Stocker,"Stock Clerks, Sales Floor",43-5081.01,2,72,23,53,68,75,53,65,28,30,42,68
Stock Clerk,"Stock Clerks, Sales Floor",43-5081.01,2,72,23,53,68,75,53,65,28,30,42,68
PT Retail Clerk Healthcare,"Stock Clerks, Sales Floor",43-5081.01,2,72,23,53,68,75,53,65,28,30,42,68
Retail Sales Associate,"Stock Clerk, Sales Floor / Cashier",43-5081.01,2,72,23,53,68,75,53,65,28,30,42,68
HBC clerk,"Stock Clerks, Sales Floor",43-5081.01,2,72,23,53,68,75,53,65,28,30,42,68
Toolcrib Attendant,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,2,46,33,42,56,61,57,85,6,30,36,55
Toolroom crib Attendant,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,2,46,33,42,56,61,57,85,6,30,36,55
Stockboy,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,2,46,33,42,56,61,57,85,6,30,36,55
Retail Associate,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,2,46,33,42,56,61,57,85,6,30,36,55
Clinical Secretary,Administrative,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Corporate Administrator,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Staff Assistant,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
staff assistant,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,43-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
office assistant, Executive Secretaries and Executive Administrative Assistants,43-6011.00 ,3,37,16,25,75,64,77,92,39,40,55,48
Secretary (Retired),Legal Secretaries,43-6012.00,3,58,47,18,77,56,81,95,22,32,58,32
Secretary,Legal Secretaries,43-6012.00,3,58,47,18,77,56,81,95,22,32,58,32
Unit Clerk,Medical Secretaries,43-6013.00,3,72,32,45,84,68,77,85,56,41,63,61
assistant to psychiatrist,Medical Secretaries,43-6013.00,3,72,32,45,84,68,77,85,56,41,63,61
Administrative Assistant,"	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive ",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Admin Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Records/Reception,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Admin Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Office Manager,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
administrative assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,3,64,43,46,87,79,84,92,33,35,55,50
Administrative Assistant,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive   ",43-6014.00 ,3,64,43,46,87,79,84,92,33,35,55,50
Data Entry Operator,Data Entry Keyer,43-9021.00,2,62,39,46,78,80,77,93,0,60,56,40
data processor,Data Entry Keyers,43-9021.00,2,62,39,46,78,80,77,93,0,60,56,40
Data Entry,Data Entry keyers,43-9021.00,2,62,39,46,78,80,77,93,0,60,56,40
data entry,Data Entry Keyers,43-9021.00 ,2,62,39,46,78,80,77,93,0,60,56,40
Administrative Assistant," Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Clerk,Office Clerk,43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Office Assistance,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Office Assistant,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
clerical assistant,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Office Manager,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Receptionist,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
office manager,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Office Assistant,"Office Clerks, General ",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
general clerical clerk,"Office Clerks, General  ",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Clerk,"Office Clerks, General  ",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Clerk,"Office Clerks, General",43-9061.00,2,59,54,33,88,77,80,89,45,32,63,62
Editor,Proofreaders and Copy Markers,43-9081.00,4,82,62,5,70,74,71,97,28,29,37,29
Proofreader,Proofreaders and Copy Markers ,43-9081.00 ,4,82,62,5,70,74,71,97,28,29,37,29
self-employed,"Office and Administrative Support Workers, All Other",43-9199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inspector/volunteer,"Office and Administrative Support Workers, All Other",43-9199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Office Culture Manager,"Office and Administrative Support Workers, All Other",43-9199.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Currently not working due to seasonal nature of employment.,"Farmworkers and Laborers, Crop",45-2092.02,1,57,73,80,70,63,31,58,0,52,44,33
Farm Laborer,"Farmworkers and Laborers, Crop",45-2092.02,1,57,73,80,70,63,31,58,0,52,44,33
Veteran Services,Executive Secretaries and Executive Administrative Assistants,46-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,46-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Regional Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,46-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,46-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Administrative Assistant,Executive Secretaries and Executive Administrative Assistants,46-6011.00,3,37,16,25,75,64,77,92,39,40,55,48
Carpenter,Carpenter,47-2031.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carpenter,Carpenters,47-2031.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
construction,Construction Laborer,47-2061.00,2,66,42,61,64,68,40,76,0,46,43,42
Construction Laborer,Construction Laborer,47-2061.00,2,66,42,61,64,68,40,76,0,46,43,42
Kalmar driver,Pile-Driver Operators,47-2072.00,2,76,62,79,62,75,59,80,0,42,56,50
foreman,Drywall and Ceiling Tile Installers,47-2081.00,2,70,29,70,75,82,74,80,6,68,68,37
Electrician,Electricians,47-2111.00,3,74,71,83,76,82,63,87,6,52,65,39
Electrician,Electricians,47-2111.00,3,74,71,83,76,82,63,87,6,52,65,39
Fire pump technician/ Sprinkler system Inspector,"	Plumbers, Pipefitters, and Steamfitters ",47-2152.00,3,71,58,69,74,75,68,79,0,48,65,54
Plumber,Plumbers,47-2152.02,3,71,58,69,74,75,68,79,0,48,65,54
Plumber,Plumbers,47-2152.02,3,71,58,69,74,75,68,79,0,48,65,54
Rig hand,"Service Unit Operators, Oil, Gas, and Mining",47-5013.00,2,92,81,92,74,79,72,78,6,68,59,47
Crew Leader,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011.00,3,89,61,88,91,94,76,89,28,60,74,52
Glass Repairman,Automotive Glass Installers and Repairers,49-3022.00,2,59,51,47,52,61,77,90,11,40,59,38
mechanic,Automotive Service Technicians and Mechanics ,49-3023.00,,,,,,,,,,,,
electronic repair technician,"Maintenance and Repair Workers, general",49-9071.00,3,73,47,69,77,76,71,74,0,37,63,58
Assistant Mechanical Technician,"Maintenance and Repair Workers, General",49-9071.00,3,73,47,69,77,76,71,74,0,37,63,58
locksmith,locksmiths and safe repairers,49-9094.00,,77,46,46,72,85,71,91,11,58,65,46
Supervisor,First-Line Supervisors of Production and Operating Workers,51-1011.00,,77,51,91,80,88,68,85,22,57,62,51
Assembly Supervisor,First-Line Supervisors of Production and Operating Workers,51-1011.00,,77,51,91,80,88,68,85,22,57,62,51
assembly worker college student,team assemblers,51-2092.00,2,35,16,61,43,45,61,85,11,28,75,41
Team Lead,Team Assemblers,51-2092.00,2,35,16,61,43,45,61,85,11,28,75,41
production,Team Assemblers ,51-2092.00,2,35,16,61,43,45,61,85,11,28,75,41
team supervisor,Team Assemblers,51-2092.00,2,35,16,61,43,45,61,85,11,28,75,41
baker,Bakers,51-3011.00,,68,45,68,81,80,62,85,0,45,55,31
Meat Clerk,Butchers and Meat Cutters,51-3021.00,,58,61,75,79,81,65,73,6,51,53,66
Assistant Seafood Manager," Meat, Poultry, and Fish Cutters and Trimmers",51-3022.00 ,,58,44,65,55,54,45,70,0,44,44,51
Copy & Print Associate,Photographic Process Workers and Processing Machine Operators,51-9151.00,,68,37,40,64,75,69,89,17,38,57,48
Manufacturing Producer,Helpers--Production Workers ,51-9198.00,,50,53,60,60,67,60,78,6,44,41,28
AT&T Chat Agent,Helpers--Production Workers ,51-9198.00,,50,53,60,60,67,60,78,6,44,41,28
Laborer,Helpers--Production Workers ,51-9198.00 ,,50,53,60,60,67,60,78,6,44,41,28
Warehouse supervisor,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031.00,2,84,53,88,77,78,67,87,17,56,61,67
transportation,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-1031.00,2,84,53,88,77,78,67,87,17,56,61,67
First Officer,"Airline Pilots, Copilots, and Flight Engineers",53-2011.00,,94,77,97,82,90,64,99,11,70,45,49
Flight attendant,Flight attendants,53-2031.00,,84,73,81,77,91,85,82,72,30,70,89
school bus driver,school bus driver,53-3022.00,2,75,72,59,80,84,73,89,39,16,66,56
driver,heavy and tractor-trailer truck drivers,53-3032.00,,77,73,49,69,77,66,73,0,54,50,55
Independent Contractor/Delivery Driver,,53-3033.00,2,70,59,37,61,69,66,77,0,58,44,50
Relocation Specialist,Light Truck or Delivery Services Drivers,53-3033.00,2,70,59,37,61,69,66,77,0,58,44,50
Food Lover,Light Truck or Delivery Services Drivers,53-3033.00 ,2,70,59,37,61,69,66,77,0,58,44,50
driver,Taxi Drivers and Chauffeurs,53-3041.00,1,64,32,56,49,68,58,67,33,36,39,60
Navigation Officer,"Mates- Ship, Boat, and Barge",53-5021.02,,80,92,91,72,77,70,78,17,47,62,46
Part Time Package Handler,"laborers and freight, stock and material movers, hand",53-7062.00,2,61,45,57,66,69,55,71,0,36,36,45
Longshoreman,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00,2,61,45,57,66,69,55,71,0,36,36,45
Allied Trades Technician,"Military Officer Special and Tactical Operations Leaders, All Other",55-1019.00,,,,,,,,,,,,
sir computer tech 2,Command and Control Center Specialists,55-3015.00,,,,,,,,,,,,
military," Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019.00 ,,,,,,,,,,,,
Admissions coordinator,Admissions coordinator,,,,,,,,,,,,,
Assurance Manager,Assurance Manager,,,,,,,,,,,,,
"owner, book keeper, everything else","Bookkeeping, Accounting, and Auditing Clerks",,,,,,,,,,,,,
Engineer,Engineer,,,,,,,,,,,,,
Financial Planner,"Financial Specialists, All Other",,,,,,,,,,,,,
Patrolman,Law Enforcement,,,,,,,,,,,,,
Attorney,Legal,,,,,,,,,,,,,
A/V Techinition - Audience Responce Specialist,"Media and Communication Workers, All Other",,,,,,,,,,,,,
engineer,media engineer,,,,,,,,,,,,,
N/A,n/a,,,,,,,,,,,,,
office manager,office manager,,,,,,,,,,,,,
salon owner,owner,,,,,,,,,,,,,
gf,r,,,,,,,,,,,,,
Research Associate,Research Associate,,,,,,,,,,,,,
Sales,Sales representative,,,,,,,,,,,,,
secretary/tech,secretary tech,,,,,,,,,,,,,
Web Design,Site did not load for me.,,,,,,,,,,,,,
Homemaker,"Sorry no, this appears to be a fishing website.",,,,,,,,,,,,,
Manager,Store manager,,,,,,,,,,,,,
M-Turk Employee,Student,,,,,,,,,,,,,
educator,teacher,,,,,,,,,,,,,
teacher,teacher,,,,,,,,,,,,,
Unemployed,Unemployed,,,,,,,,,,,,,
Unemployed,Unemployed,,,,,,,,,,,,,
analyst,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Nurse,,,,,,,,,,,,,,
homemaker,,,,,,,,,,,,,,
disabled unemployed,,,,,,,,,,,,,,
Teacher,,,,,,,,,,,,,,
Line Cook,,,,,,,,,,,,,,
Physical therapist,,,,,,,,,,,,,,
